Pos,Driver,Team,Finish,Best lap,Top KPH,Pit,Pts
1,M Iversen,Shaba GP,1:32:28.186,1:23.790,321.94,5,25
2,G Lemond,Shaba GP,+ 0:02.134,1:26.254,321.94,5,18
3,S Quatro,Mercedes AMG,+ 0:09.569,1:24.693,321.94,4,15
4,L Manu,Hyundai Accent,+ 0:12.533,1:24.256,321.94,5,12
5,A Cooper,Mercedes AMG,+ 0:13.151,1:26.413,321.94,4,10
6,V Kubika,JB Racing,+ 0:25.372,1:22.266,321.94,5,9
7,C Schneider,JB Racing,+ 0:29.801,1:25.599,321.94,5,6
8,B Bones,Under Jolly Roger,+ 0:38.285,1:23.826,321.94,4,4
9,D Kvyat,AutoPoligon,+ 0:51.319,1:25.900,321.94,4,2
10,M Imanshapiev,Hyundai Accent,+ 0:52.790,1:26.242,321.94,4,1
11,C Barbarossa,Under Jolly Roger,+ 0:54.537,1:24.667,321.94,5,-
12,V Tupolev,AutoPoligon,+ 0:56.206,1:25.755,321.94,4,-
13,C Santana,JAGUAR,+ 0:58.305,1:24.806,321.94,4,-
14,A Cardoso,JAGUAR,+ 1:05.708,1:27.234,321.94,4,-
15,N Graf,Audi F1 Team,+1 lap,1:28.437,321.94,3,-
16,A Sturm,Audi F1 Team,+1 lap,1:28.334,321.94,3,-
17,T End,McLaren,+1 lap,1:27.655,321.94,5,-
18,S Ramírez,McLaren,+1 lap,1:27.931,321.94,5,-
19,M Bolek,Red Wine Racing,+2 laps,1:27.052,321.94,5,-
20,S Lolek,Red Wine Racing,+2 laps,1:25.241,321.94,4,-
21,A Boba,AVRO Competition,+4 laps,1:31.350,321.94,3,-
22,A Biba,AVRO Competition,Fuel,1:31.583,321.94,3,-
23,R Orlov,Akela F1 team,Fuel,1:26.410,321.94,3,-
24,S Svetlanov,Akela F1 team,Fuel,1:28.736,321.94,3,-
25,G Diaz,Scuderia Ferrari,Fuel,1:31.532,321.94,3,-
26,K Nakamura,Scuderia Ferrari,Fuel,1:31.647,321.94,3,-
27,M Lombardi,Forward Racing Team,Fuel,1:28.414,321.94,3,-
28,O Bearman,Forward Racing Team,Fuel,1:28.434,321.94,3,-
29,D Gurevich,Naruto,Fuel,1:27.750,321.94,3,-
30,N Kutaisova,Naruto,Fuel,1:28.650,321.94,3,-
